날짜,시간,오늘 발전량(kW),오늘 누적(kWh),오늘 일사량(W/㎡),오늘 기온(℃),오늘 풍속(㎧),내일 일사량(W/㎡),내일 기온(℃),내일 풍속(㎧)
20240101,9시,-,-,-,-,-,100.4,3.2,2
20240101,10시,-,-,-,-,-,271.3,5.1,0.7
20240101,11시,-,-,-,-,-,424.3,6.2,0.7
20240101,12시,-,-,-,-,-,528.8,6.8,1.4
20240101,13시,-,-,-,-,-,548,7,2
20240101,14시,-,-,-,-,-,517.6,7,1.8
20240101,15시,-,-,-,-,-,466.9,8.1,1.8
20240101,16시,-,-,-,-,-,332.6,8.2,1.6
20240101,17시,-,-,-,-,-,158.9,7.4,0.7
20240101,18시,-,-,-,-,-,17,5.6,1.2
20240101,19시,-,-,-,-,-,0,4.8,0.3
20240101,20시,-,-,-,-,-,0,4.6,0.9
20240101,21시,-,-,-,-,-,0,4.3,1.2
20240101,22시,-,-,-,-,-,0,4.5,1.3
20240101,23시,-,-,-,-,-,0,4.3,1.6
20240102,0시,-,-,-,-,-,-,-,-
20240102,1시,-,-,-,-,-,-,-,-
20240102,2시,-,-,-,-,-,-,-,-
20240102,3시,-,-,-,-,-,-,-,-
20240102,4시,-,-,-,-,-,-,-,-
20240102,5시,-,-,-,-,-,-,-,-
20240102,6시,-,-,-,-,-,-,-,-
20240102,7시,-,-,-,-,-,-,-,-
20240102,8시,-,-,-,-,-,-,-,-
20240102,9시,-,-,100.4,3.2,2,64.7,3.5,0.5
20240102,10시,361.73,495.6,271.3,5.1,0.7,204.4,5.2,1.5
20240102,11시,535.72,1031.32,424.3,6.2,0.7,321.4,6.4,1.4
20240102,12시,649.87,1681.19,528.8,6.8,1.4,395.4,6.8,1.3
20240102,13시,668.5,2349.69,548,7,2,527.7,7.5,2
20240102,14시,635.3,2984.99,517.6,7,1.8,483.9,7.4,1.8
20240102,15시,584.49,3569.48,466.9,8.1,1.8,338.3,7.9,1.8
20240102,16시,437.39,4006.87,332.6,8.2,1.6,199.8,7.6,1.2
20240102,17시,211.87,4218.74,158.9,7.4,0.7,73.3,7,1.2
20240102,18시,17,4235.74,17,5.6,1.2,12,6.3,1.2
20240102,19시,0,4235.74,0,4.8,0.3,0,5.8,1.1
20240102,20시,0,4235.74,0,4.6,0.9,0,5.7,1.1
20240102,21시,0,4235.74,0,4.3,1.2,0,5.3,0.9
20240102,22시,0,4235.74,0,4.5,1.3,0,5.1,0.6
20240102,23시,0,4235.74,0,4.3,1.6,0,5.3,0.6
20240103,0시,-,-,-,-,-,0,4.1,2
20240103,1시,-,-,-,-,-,0,3.1,1.6
20240103,2시,-,-,-,-,-,0,1.8,0.6
20240103,3시,-,-,-,-,-,0,1.3,0.2
20240103,4시,-,-,-,-,-,0,0.6,0.1
20240103,5시,-,-,-,-,-,0,0,0.4
20240103,6시,-,-,-,-,-,0,0.7,0.1
20240103,7시,-,-,-,-,-,0,1.4,0.7
20240103,8시,-,-,-,-,-,1.6,2.3,0.4
20240103,9시,133.87,133.87,100.4,3.2,2,64.7,3.5,0.5
20240103,10시,361.73,495.6,271.3,5.1,0.7,204.4,5.2,1.5
20240103,11시,535.72,1031.32,424.3,6.2,0.7,321.4,6.4,1.4
20240103,12시,649.87,1681.19,528.8,6.8,1.4,395.4,6.8,1.3
20240103,13시,668.5,2349.69,548,7,2,527.7,7.5,2
20240103,14시,635.3,2984.99,517.6,7,1.8,483.9,7.4,1.8
20240103,15시,584.49,3569.48,466.9,8.1,1.8,338.3,7.9,1.8
20240103,16시,437.39,4006.87,332.6,8.2,1.2,335.8,7.7,3
20240103,17시,97.73,3272.79,73.3,7,1.2,158.4,7.2,4.3
20240103,18시,12,3284.79,12,6.3,1.2,13.2,6.2,5.4
20240103,19시,0,3284.79,0,5.8,1.1,0,5.9,4.1
20240103,20시,0,3284.79,0,5.7,1.1,0,4.9,3.8
20240103,21시,0,3284.79,0,5.3,0.9,0,3.9,2.4
20240103,22시,0,3284.79,0,5.1,0.6,0,3.3,1.1
20240103,23시,0,3284.79,0,5.3,0.6,0,4.1,2.3
20240104,0시,0,0,0,4.1,2,0,5.2,0.6
20240104,1시,0,0,0,3.1,1.6,0,5.1,0.7
20240104,2시,0,0,0,1.8,0.6,0,4.8,0.4
20240104,3시,0,0,0,1.3,0.2,0,4.3,0.9
20240104,4시,0,0,0,0.6,0.1,0,4.2,0.3
20240104,5시,0,0,0,0,0.4,0,4.3,1.2
20240104,6시,0,0,0,0.7,0.1,0,4.4,1.4
20240104,7시,0,0,0,1.4,0.7,0,4.5,0.2
20240104,8시,1.6,1.6,1.6,2.3,0.4,0.4,4.8,0.8
20240104,9시,86.27,87.87,64.7,3.5,0.5,27.6,4.8,1.2
20240104,10시,272.53,360.4,204.4,5.2,1.5,134.2,4.8,1.6
20240104,11시,405.55,765.95,321.4,6.4,1.4,305.4,5.4,2.2
20240104,12시,486.6,1252.55,395.4,6.8,1.3,385.7,5.4,2.6
20240104,13시,643.74,1896.29,527.7,7.5,2,494.5,6.3,3.1
20240104,14시,593.46,2489.75,483.9,7.4,1.8,542.5,6.4,3.1
20240104,15시,423.04,2912.79,338.3,7.9,1.8,472.8,7.5,3.1
20240104,16시,262.27,3175.06,199.8,7.6,1.2,335.8,7.7,3
20240104,17시,97.73,3272.79,73.3,7,1.2,158.4,7.2,4.3
20240104,18시,12,3284.79,12,6.3,1.2,13.2,6.2,5.4
20240104,19시,0,3284.79,0,5.8,1.1,0,5.9,4.1
20240104,20시,0,3284.79,0,4.9,3.8,0,4.5,0.6
20240104,21시,0,3602.88,0,3.9,2.4,0,3.5,1.8
20240104,22시,0,3602.88,0,3.3,1.1,0,3.4,2
20240104,23시,0,3602.88,0,4.1,2.3,0,3.3,2.3
20240105,0시,0,0,0,5.2,0.6,0,2.9,1.5
20240105,1시,0,0,0,5.1,0.7,0,1.9,1.4
20240105,2시,0,0,0,4.8,0.4,0,1.7,1.3
20240105,3시,0,0,0,4.3,0.9,0,1.1,2
20240105,4시,0,0,0,4.2,0.3,0,1,1.6
20240105,5시,0,0,0,4.3,1.2,0,0.8,2.2
20240105,6시,0,0,0,4.4,1.4,0,0.4,2
20240105,7시,0,0,0,4.5,0.2,0,0.3,1.9
20240105,8시,0.4,0.4,0.4,4.8,0.8,2.5,0.7,1.8
20240105,9시,36.8,37.2,27.6,4.8,1.2,78,1.3,1.3
20240105,10시,178.93,216.13,134.2,4.8,1.6,250.3,2.2,1.5
20240105,11시,385.09,601.22,305.4,5.4,2.2,416.9,3.6,0.7
20240105,12시,474.34,1075.56,385.7,5.4,2.6,525.9,4.8,1.1
20240105,13시,603.3,1678.86,494.5,6.3,3.1,558,5.7,1.6
20240105,14시,664.75,2343.61,542.5,6.4,3.1,563.9,6.5,1.6
20240105,15시,590.53,2934.14,472.8,7.5,3.1,484.3,8.2,1.8
20240105,16시,439.94,3374.08,335.8,7.7,3,344.7,8,1.6
20240105,17시,211.2,3585.28,158.4,7.2,4.3,170.1,7.4,1.8
20240105,18시,17.6,3602.88,13.2,6.2,5.4,20.6,5.8,1.4
20240105,19시,0,3602.88,0,5.9,4.1,0,5.2,1.2
20240105,20시,0,3602.88,0,4.9,3.8,0,4.5,0.6
20240105,21시,0,3602.88,0,3.9,2.4,0,3.5,1.8
20240105,22시,0,3602.88,0,3.3,1.1,0,3.4,2
20240105,23시,0,3602.88,0,4.1,2.3,0,3.3,2.3
20240106,0시,0,0,0,2.9,1.5,0,3.3,2.3
20240106,1시,0,0,0,1.9,1.4,0,3.5,2.5
20240106,2시,0,0,0,1.7,1.3,0,3.4,2.2
20240106,3시,0,0,0,1.1,2,0,3.6,2.3
20240106,4시,0,0,0,1,1.6,0,3.9,2.9
20240106,5시,0,0,0,0.8,2.2,0,3.9,2.5
20240106,6시,0,0,0,0.4,2,0,4.2,2.4
20240106,7시,0,0,0,0.3,1.9,0,4,2.1
20240106,8시,2.5,2.5,2.5,0.7,1.8,2.2,4.3,1.6
20240106,9시,104,106.5,78,1.3,1.3,87.6,5.9,1.8
20240106,10시,333.73,440.23,250.3,2.2,1.5,226.4,7.8,1
20240106,11시,525.26,965.49,416.9,3.6,0.7,387.5,9.5,0.9
20240106,12시,646.26,1611.75,525.9,4.8,1.1,514.9,10.1,1.5
20240106,13시,680.22,2291.97,558,5.7,1.6,555.7,10.7,1.9
20240106,14시,687.38,2979.35,563.9,6.5,1.6,554.8,10.7,2.5
20240106,15시,603.83,3583.18,484.3,8.2,1.8,473.5,11.9,2.1
20240106,16시,450.69,4033.87,344.7,8,1.6,337.6,11.8,1.2
20240106,17시,226.8,4260.67,170.1,7.4,1.8,165.8,10.3,1
20240106,18시,27.47,4288.14,20.6,5.8,1.4,20.6,7.9,1.9
20240106,19시,0,4288.14,0,5.2,1.2,0,7.2,1.8
20240106,20시,0,4288.14,0,4.5,0.6,0,6.9,1.8
20240106,21시,0,4288.14,0,3.5,1.8,0,5.7,1.8
20240106,22시,0,4288.14,0,3.4,2,0,4.6,1.1
20240106,23시,0,4288.14,0,3.3,2.3,0,4.1,0.5
20240107,0시,0,0,0,3.3,2.3,0,4.3,0.5
20240107,1시,0,0,0,3.5,2.5,0,3.4,0.4
20240107,2시,0,0,0,3.4,2.2,0,4,0.1
20240107,3시,0,0,0,3.6,2.3,0,4.4,1.6
20240107,4시,0,0,0,3.9,2.9,0,4.4,3
20240107,5시,0,0,0,3.9,2.5,0,3.8,2.5
20240107,6시,0,0,0,4.2,2.4,0,3.4,2.4
20240107,7시,0,0,0,4,2.1,0,2.6,2.4
20240107,8시,2.2,2.2,2.2,4.3,1.6,2.7,2.2,2.6
20240107,9시,116.8,119,87.6,5.9,1.8,89.7,2.7,2.1
20240107,10시,301.87,420.87,226.4,7.8,1,264.9,4.3,2.1
20240107,11시,487.8,908.67,387.5,9.5,0.9,418.5,5.2,3.3
20240107,12시,624.46,1533.13,514.9,10.1,1.5,536.8,5.6,4.3
20240107,13시,664.42,2197.55,555.7,10.7,1.9,584.7,6.1,4.5
20240107,14시,667.55,2865.1,554.8,10.7,2.5,546.1,5.9,4.2
20240107,15시,582.49,3447.59,473.5,11.9,2.1,444.2,6.6,3.7
20240107,16시,440.49,3888.08,337.6,11.8,1.2,331.4,6.1,3.2
20240107,17시,221.07,4109.15,165.8,10.3,1,174.4,5.4,3.8
20240107,18시,27.47,4136.62,20.6,7.9,1.9,22.7,4.4,2.7
20240107,19시,0,4136.62,0,7.2,1.8,0,4.2,2.5
20240107,20시,0,4136.62,0,6.9,1.8,0,3.8,2.1
20240107,21시,0,4136.62,0,5.7,1.8,0,2.2,1.6
20240107,22시,0,4136.62,0,4.6,1.1,0,0.7,0.4
20240107,23시,0,4136.62,0,4.1,0.5,0,0.8,0.8
20240108,0시,0,0,0,4.3,0.5,0,1.4,2.4
20240108,1시,0,0,0,3.4,0.4,0,1.7,0.7
20240108,2시,0,0,0,4,0.1,0,2.7,2.1
20240108,3시,0,0,0,4.4,1.6,0,1.8,1
20240108,4시,0,0,0,4.4,3,0,3.4,4.1
20240108,5시,0,0,0,3.8,2.5,0,3.4,4.9
20240108,6시,0,0,0,3.4,2.4,0,2.8,4.2
20240108,7시,0,0,0,2.6,2.4,0,2.7,4.1
20240108,8시,2.7,2.7,2.7,2.2,2.6,2.6,1.8,5
20240108,9시,119.6,122.3,89.7,2.7,2.1,71.1,1.9,3.7
20240108,10시,353.2,475.5,264.9,4.3,2.1,211.7,3.4,4.5
20240108,11시,526.32,1001.82,418.5,5.2,3.3,375.9,3.8,5.9
20240108,12시,658.53,1660.35,536.8,5.6,4.3,506.5,4.1,6.2
20240108,13시,711.51,2371.86,584.7,6.1,4.5,428.4,3.7,7
20240108,14시,667.17,3039.03,546.1,5.9,4.2,408.6,3.3,7.1
20240108,15시,552.66,3591.69,444.2,6.6,3.7,338.1,2.9,5.6
20240108,16시,431.47,4023.16,331.4,6.1,3.2,143.2,1.9,5.7
20240108,17시,232.53,4255.69,174.4,5.4,3.8,105.2,1.1,4.8
20240108,18시,30.27,4285.96,22.7,4.4,2.7,17.7,1.3,3.7
20240108,19시,0,4285.96,0,4.2,2.5,0,1.9,6.6
20240108,20시,0,4285.96,0,3.8,2.1,0,1.2,5.9
20240108,21시,0,4285.96,0,2.2,1.6,0,0.7,3.5
20240108,22시,0,4285.96,0,0.7,0.4,0,0.6,2.6
20240108,23시,0,4285.96,0,0.8,0.8,0,-0.3,2.9
20240109,0시,0,0,0,1.4,2.4,0,-0.3,3.5
20240109,1시,0,0,0,1.7,0.7,0,-1.6,2
20240109,2시,0,0,0,2.7,2.1,0,-2.3,2.8
20240109,3시,0,0,0,1.8,1,0,-2.4,3.5
20240109,4시,0,0,0,3.4,4.1,0,-2.2,2.6
20240109,5시,0,0,0,3.4,4.9,0,-2.6,2.8
20240109,6시,0,0,0,2.8,4.2,0,-2.8,3.5
20240109,7시,0,0,0,2.7,4.1,0,-2.7,3.4
20240109,8시,2.6,2.6,2.6,1.8,5,2.2,-2.7,3.6
20240109,9시,94.8,97.4,71.1,1.9,3.7,78.6,-2.7,2.8
20240109,10시,282.27,379.67,211.7,3.4,4.5,209.4,-1.7,1.7
20240109,11시,472.25,851.92,375.9,3.8,5.9,381,-0.8,2
20240109,12시,620.77,1472.69,506.5,4.1,6.2,467.9,0.2,2.6
20240109,13시,520.8,1993.49,428.4,3.7,7,478.3,0.8,2.4
20240109,14시,498.64,2492.13,408.6,3.3,7.1,392.2,0.9,3.2
20240109,15시,420.05,2912.18,338.1,2.9,5.6,496,2.5,2.3
20240109,16시,186.02,3098.2,143.2,1.9,5.7,341.4,2.8,1.9
20240109,17시,140.27,3238.47,105.2,1.1,4.8,169.6,2.3,1.8
20240109,18시,23.6,3262.07,17.7,1.3,3.7,25.4,1.4,1.5
20240109,19시,0,3262.07,0,1.9,6.6,0,0.8,1.5
20240109,20시,0,3262.07,0,1.2,5.9,0,1.1,1.8
20240109,21시,0,3262.07,0,0.7,3.5,0,0.1,0.4
20240109,22시,0,3262.07,0,0.6,2.6,0,-0.8,0.6
20240109,23시,0,3262.07,0,-0.3,2.9,0,-0.6,1.4
20240110,0시,0,0,0,-0.3,3.5,0,-1.2,2.5
20240110,1시,0,0,0,-1.6,2,0,-1.4,2.6
20240110,2시,0,0,0,-2.3,2.8,0,-1.4,2.7
20240110,3시,0,0,0,-2.4,3.5,0,-1.4,1.6
20240110,4시,0,0,0,-2.2,2.6,0,-1.6,2.3
20240110,5시,0,0,0,-2.6,2.8,0,-1.3,2.5
20240110,6시,0,0,0,-2.8,3.5,0,-1.4,1.7
20240110,7시,0,0,0,-2.7,3.4,0,-1.4,1
20240110,8시,2.2,2.2,2.2,-2.7,3.6,2.8,-1.4,2.5
20240110,9시,104.8,107,78.6,-2.7,2.8,97.5,-0.1,4.2
20240110,10시,279.2,386.2,209.4,-1.7,1.7,249.2,1.6,3.4
20240110,11시,478.12,864.32,381,-0.8,2,253.7,3.1,3.1
20240110,12시,572.87,1437.19,467.9,0.2,2.6,253.1,4.4,2.3
20240110,13시,580.87,2018.06,478.3,0.8,2.4,283.4,5.6,2.6
20240110,14시,478.07,2496.13,392.2,0.9,3.2,319.2,6.6,2
20240110,15시,615.32,3111.45,496,2.5,2.3,294.3,6.3,2
20240110,16시,442.48,3553.93,341.4,2.8,1.9,114.8,6.2,1.5
20240110,17시,226.13,3780.06,169.6,2.3,1.8,30.9,5.7,1.3
20240110,18시,33.87,3813.93,25.4,1.4,1.5,5.2,5.3,0.2
20240110,19시,0,3813.93,0,0.8,1.5,0,5,0.9
20240110,20시,0,3813.93,0,1.1,1.8,0,4.7,1.9
20240110,21시,0,3813.93,0,0.1,0.4,0,4.8,1.8
20240110,22시,0,3813.93,0,-0.8,0.6,0,4.7,0.5
20240110,23시,0,3813.93,0,-0.6,1.4,0,4.7,0.1
20240111,0시,0,0,0,-0.3,3.5,0,-1.2,2.5
20240111,1시,0,0,0,-1.6,2,0,-1.4,2.6
20240111,2시,0,0,0,-2.3,2.8,0,-1.4,2.7
20240111,3시,0,0,0,-1.4,1.6,0,3.2,2
20240111,4시,0,0,0,-1.6,2.3,0,2.8,1.9
20240111,5시,0,0,0,-1.3,2.5,0,2.9,2.5
20240111,6시,0,0,0,-1.4,1.7,0,3.1,3.6
20240111,7시,0,0,0,-1.4,1,0,3.1,4.1
20240111,8시,2.8,2.8,2.8,-1.4,2.5,0.8,2.5,4.5
20240111,9시,130,132.8,97.5,-0.1,4.2,60.9,2.8,3.3
20240111,10시,332.07,464.87,249.2,1.6,3.4,229.8,3.4,3.3
20240111,11시,317.99,782.86,253.7,3.1,3.1,333.4,3.9,4.1
20240111,12시,309.55,1092.41,253.1,4.4,2.3,375.7,4.3,4.3
20240111,13시,343.8,1436.21,283.4,5.6,2.6,401.1,4.9,4.3
20240111,14시,388.62,1824.83,319.2,6.6,2,571.4,5,5.1
20240111,15시,364.54,2189.37,294.3,6.3,2,501.8,4.8,5.2
20240111,16시,148.44,2337.81,114.8,6.2,1.5,364.9,4.4,4.8
20240111,17시,41.2,2379.01,30.9,5.7,1.3,188.2,3.8,4.8
20240111,18시,6.93,2385.94,5.2,5.3,0.2,28.6,2.7,3.2
20240111,19시,0,2385.94,0,5,0.9,0,1.9,2.6
20240111,20시,0,2385.94,0,4.7,1.9,0,1.2,2.4
20240111,21시,0,2385.94,0,4.8,1.8,-,-,-
20240111,22시,0,2385.94,0,4.7,0.5,-,-,-
20240111,23시,0,2385.94,0,4.7,0.1,-,-,-
20240112,0시,0,0,0,4.3,1.5,-,-,-
20240112,1시,0,0,0,3.9,2.4,-,-,-
20240112,2시,0,0,0,3.8,4.5,-,-,-
20240112,3시,0,0,0,3.2,2,0,-1.8,2.5
20240112,4시,0,0,0,2.8,1.9,0,-2.1,2.1
20240112,5시,0,0,0,2.9,2.5,0,-1.9,2.2
20240112,6시,0,0,0,3.1,3.6,0,-1.7,2.6
20240112,7시,0,0,0,3.1,4.1,0,-1.3,2.8
20240112,8시,0.8,0.8,0.8,2.5,4.5,2.8,-0.8,2.5
20240112,9시,81.2,82,60.9,2.8,3.3,95.9,0.6,1.5
20240112,10시,305.7,387.7,229.8,3.4,3.3,246.9,1.8,0.8
20240112,11시,417.35,805.05,333.4,3.9,4.1,391.9,3,0.6
20240112,12시,458.97,1264.02,375.7,4.3,4.3,503.9,4.2,1
20240112,13시,486.04,1750.06,401.1,4.9,4.3,584.5,5.2,1.3
20240112,14시,694.79,2444.85,571.4,5,5.1,573.3,6.1,5.2
20240112,15시,620.58,3065.43,501.8,4.8,5.2,507.5,6.5,3.5
20240112,16시,470.69,3536.12,364.9,4.4,4.8,342.1,6.6,3.2
20240112,17시,250.93,3787.05,188.2,3.8,4.8,174.6,5.9,3.5
20240112,18시,38.13,3825.18,28.6,2.7,3.2,25.6,4.3,2
20240112,19시,0,3825.18,0,1.9,2.6,0,3.4,1.1
20240112,20시,0,3825.18,0,1.2,2.4,0,2.5,0.6
20240112,21시,-,-,-,-,-,0,2.6,0.9
20240112,22시,-,-,-,-,-,0,2.3,1.1
20240112,23시,-,-,-,-,-,0,2.2,1.7
20240113,0시,-,-,-,-,-,0,1.7,1.5
20240113,1시,-,-,-,-,-,0,1.9,1.5
20240113,2시,-,-,-,-,-,0,1.9,1.3
20240113,3시,0,0,0,-1.8,2.5,0,1.7,0.9
20240113,4시,0,0,0,-2.1,2.1,0,2.5,1
20240113,5시,0,0,0,-1.9,2.2,0,4.1,2.7
20240113,6시,0,0,0,-1.7,2.6,0,4.8,2.5
20240113,7시,0,0,0,-1.3,2.8,0,3.8,1.8
20240113,8시,2.8,2.8,2.8,-0.8,2.5,2.3,4.2,2
20240113,9시,127.87,130.67,95.9,0.6,1.5,63.9,5.5,1.5
20240113,10시,327.85,458.52,246.9,1.8,0.8,164.8,6.5,1.8
20240113,11시,489.91,948.43,391.9,3,0.6,306.5,7.8,2.6
20240113,12시,614.85,1563.28,503.9,4.2,1,415.1,8.5,1.9
20240113,13시,705.89,2269.17,584.5,5.2,1.3,567.3,8.6,2.7
20240113,14시,696.2,2965.37,573.3,6.1,5.2,550.9,7.8,4.1
20240113,15시,626.61,3591.98,507.5,6.5,3.5,502.7,8.3,4.1
20240113,16시,440.19,4032.17,342.1,6.6,3.2,368.6,8,4
20240113,17시,232.8,4264.97,174.6,5.9,3.5,193.5,6.8,4.4
20240113,18시,34.13,4299.1,25.6,4.3,2,31.5,5.7,3.6
20240113,19시,0,4299.1,0,3.4,1.1,0,4.8,3.3
20240113,20시,0,4299.1,0,2.5,0.6,0,3.8,2.7
20240113,21시,0,4299.1,0,2.6,0.9,0,2.4,1.8
20240113,22시,0,4299.1,0,2.3,1.1,0,1.3,1.8
20240113,23시,0,4299.1,0,2.2,1.7,0,0.9,1.9
20240114,0시,0,0,0,1.7,1.5,0,0.3,2.4
20240114,1시,0,0,0,1.9,1.5,0,-0.1,2.8
20240114,2시,0,0,0,1.9,1.3,0,-0.6,3.1
20240114,3시,0,0,0,1.7,0.9,0,-1.7,1.8
20240114,4시,0,0,0,2.5,1,0,-2.4,1.8
20240114,5시,0,0,0,4.1,2.7,0,-2,2.1
20240114,6시,0,0,0,4.8,2.5,0,-2.1,2.1
20240114,7시,0,0,0,3.8,1.8,0,-2.2,2
20240114,8시,2.3,2.3,2.3,4.2,2,3,-2.1,1.8
20240114,9시,85.2,87.5,63.9,5.5,1.5,105.7,-0.7,2.3
20240114,10시,218.41,305.91,164.8,6.5,1.8,288.1,1,1.5
20240114,11시,382.61,688.52,306.5,7.8,2.6,451.2,2.5,1.8
20240114,12시,505.86,1194.38,415.1,8.5,1.9,565.3,3.7,3
20240114,13시,680.87,1875.25,567.3,8.6,2.7,617.7,4.3,3.8
20240114,14시,668.09,2543.34,550.9,7.8,4.1,602.1,4.8,3.7
20240114,15시,619.64,3162.98,502.7,8.3,4.1,520.7,5.9,3.4
20240114,16시,473.09,3636.07,368.6,8,4,381,5.7,3.1
20240114,17시,258,3894.07,193.5,6.8,4.4,201.4,5,2.5
20240114,18시,42,3936.07,31.5,5.7,3.6,33.9,3.2,1.1
20240114,19시,0,3936.07,0,4.8,3.3,0,2.2,1.4
20240114,20시,0,3936.07,0,3.8,2.7,0,1.4,0.5
20240114,21시,0,3936.07,0,2.4,1.8,0,0.2,1.1
20240114,22시,0,3936.07,0,1.3,1.8,0,-1,0.8
20240114,23시,0,3936.07,0,0.9,1.9,0,-0.2,1.3
20240115,0시,0,0,0,0.3,2.4,0,0.4,2.1
20240115,1시,0,0,0,-0.1,2.8,0,0.3,1.9
20240115,2시,0,0,0,-0.6,3.1,0,0.9,2.3
20240115,3시,0,0,0,-1.7,1.8,0,-0.5,1.5
20240115,4시,0,0,0,-2.4,1.8,0,-0.8,0.9
20240115,5시,0,0,0,-2,2.1,0,-0.3,1.8
20240115,6시,0,0,0,-2.1,2.1,0,0.8,1.9
20240115,7시,0,0,0,-2.2,2,0,1.2,1.9
20240115,8시,3,3,3,-2.1,1.8,3,1.9,1.8
20240115,9시,140.93,143.93,105.7,-0.7,2.3,102.5,4.1,1.6
20240115,10시,381.03,524.96,288.1,1,1.5,262.8,6.9,1.4
20240115,11시,562.39,1087.35,451.2,2.5,1.8,395.9,8.4,1.5
20240115,12시,688.01,1775.36,565.3,3.7,3,510.8,9.8,2.4
20240115,13시,745.74,2521.1,617.7,4.3,3.8,-,-,-
20240115,14시,543.24,2799.62,450.6,10.9,2.2,618.3,3.5,6.7
20240115,15시,602.27,3401.89,497.3,13.2,3.8,537.3,3.2,6.1
20240115,16시,455.07,3856.96,356.4,12.4,2.7,396.3,3.1,5.4
20240115,17시,137.73,3994.69,103.3,11,2.3,213.6,2.4,5.9
20240115,18시,14,4008.69,10.5,9.8,1.2,38.9,1.3,4.4
20240115,19시,0,4008.69,0,6.6,5.5,0,1.2,4.7
20240115,20시,0,4008.69,0,6,5.8,0,0.9,4.4
20240115,21시,0,4008.69,0,5.5,5,0,-0.2,2.4
20240115,22시,0,4008.69,0,4.8,5.3,0,-1.4,2.6
20240115,23시,0,4008.69,0,4.4,6,0,-1.7,2.9
20240116,0시,0,0,0,3.7,5.5,0,-1.8,3.3
20240116,1시,0,0,0,2.8,5.9,0,-1.8,4
20240116,2시,0,0,0,1.7,5.5,0,-2.1,4.2
20240116,3시,0,0,0,1.4,4.2,0,-2.8,3.2
20240116,4시,0,0,0,0.3,3.5,0,-3.2,2.8
20240116,5시,0,0,0,0.6,4.2,0,-3,3.2
20240116,6시,0,0,0,0.1,4.4,0,-3.2,2.5
20240116,7시,0,0,0,-0.2,4.3,0,-3.5,2.1
20240116,8시,3.2,3.2,3.2,-1.2,4.4,3.4,-3.4,1.8
20240116,9시,-,-,-,-,-,102.1,-2.4,2.1
20240116,10시,-,-,-,-,-,273,-0.7,1.6
20240116,11시,-,-,-,-,-,417.6,0.8,1.7
20240116,12시,-,-,-,-,-,512.9,2.1,1.7
20240116,13시,-,-,-,-,-,546.4,2.4,2.4
20240116,14시,746.6,749.8,618.3,3.5,6.7,475.1,3.3,2
20240116,15시,658.78,1408.58,537.3,3.2,6.1,391.2,5.3,2.4
20240116,16시,504.68,1913.26,396.3,3.1,5.4,302.3,6,2.1
20240116,17시,284.8,2198.06,213.6,2.4,5.9,179.5,4.8,2
20240116,18시,51.87,2249.93,38.9,1.3,4.4,34.4,2.9,1.5
20240116,19시,0,2249.93,0,1.2,4.7,0,2.5,2.2
20240116,20시,0,2249.93,0,0.9,4.4,0,2.4,1
20240116,21시,0,2249.93,0,-0.2,2.4,0,2,2.1
20240116,22시,0,2249.93,0,-1.4,2.6,0,0.9,1.8
20240116,23시,0,2249.93,0,-1.7,2.9,0,1.1,2.2
20240117,0시,0,0,0,3.7,5.5,0,-1.8,3.3
20240117,1시,0,0,0,2.8,5.9,0,-1.8,4
20240117,2시,0,0,0,1.7,5.5,0,-2.1,4.2
20240117,3시,0,0,0,1.4,4.2,0,-2.8,3.2
20240117,4시,0,0,0,0.3,3.5,0,-3.2,2.8
20240117,5시,0,0,0,0.6,4.2,0,-3,3.2
20240117,6시,0,0,0,0.1,4.4,0,-3.2,2.5
20240117,7시,0,0,0,-0.2,4.3,0,-3.5,2.1
20240117,8시,3.2,3.2,3.2,-1.2,4.4,3.4,-3.4,1.8
20240117,9시,-,-,-,-,-,102.1,-2.4,2.1
20240117,10시,-,-,-,-,-,273,-0.7,1.6
20240117,11시,-,-,-,-,-,417.6,0.8,1.7
20240117,12시,-,-,-,-,-,512.9,2.1,1.7
20240117,13시,-,-,-,-,-,546.4,2.4,2.4
20240117,14시,746.6,749.8,618.3,3.5,6.7,475.1,3.3,2
20240117,15시,658.78,1408.58,537.3,3.2,6.1,391.2,5.3,2.4
20240117,16시,504.68,1913.26,396.3,3.1,5.4,302.3,6,2.1
20240117,17시,284.8,2198.06,213.6,2.4,5.9,179.5,4.8,2
20240117,18시,51.87,2249.93,38.9,1.3,4.4,34.4,2.9,1.5
20240117,19시,0,2249.93,0,1.2,4.7,0,2.5,2.2
20240117,20시,0,2249.93,0,0.9,4.4,0,2.4,1
20240117,21시,0,2249.93,0,-0.2,2.4,0,2,2.1
20240117,22시,0,2249.93,0,-1.4,2.6,0,0.9,1.8
20240117,23시,0,2249.93,0,-1.7,2.9,0,1.1,2.2
20240118,0시,0,0,0,-1.8,3.3,0,0.9,2.5
20240118,1시,0,0,0,-1.8,4,0,2.1,0.4
20240118,2시,0,0,0,-2.1,4.2,0,3,0.7
20240118,3시,0,0,0,-2.8,3.2,0,2.2,0.2
20240118,4시,0,0,0,-3.2,2.8,0,3,0.5
20240118,5시,0,0,0,-3,3.2,0,2.8,0.4
20240118,6시,0,0,0,-3.2,2.5,0,4.2,1.3
20240118,7시,0,0,0,-3.5,2.1,0,4.8,1.9
